seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1.0,RK,Studio Apartment,Vasant Kunj,9999.0,500.0,Furnished,1.0
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,18500.0,750.0,Semi-Furnished,1.0
OWNER,2.0,BHK,Apartment,Saket,13000.0,1050.0,Semi-Furnished,2.0
OWNER,1.0,BHK,Apartment,New Ashok Nagar,10000.0,550.0,Furnished,1.0
OWNER,2.0,BHK,Independent Floor,laxmi nagar,13500.0,648.0,Furnished,1.0
OWNER,3.0,BHK,Independent Floor,Malviya Nagar,65000.0,1500.0,Semi-Furnished,2.0
OWNER,2.0,BHK,Independent Floor,Sector-17 Rohini,16000.0,659.0,Semi-Furnished,2.0
OWNER,2.0,BHK,Independent Floor,Khanpur,9500.0,700.0,Unfurnished,2.0
OWNER,2.0,BHK,Independent Floor,Pitampura,16000.0,684.0,Unfurnished,1.0
OWNER,1.0,BHK,Independent Floor,Uttam Nagar,7500.0,450.0,Unfurnished,1.0
OWNER,2.0,BHK,Independent Floor,Janakpuri,21000.0,750.0,Semi-Furnished,2.0
OWNER,1.0,BHK,Independent Floor,vikaspuri,13000.0,450.0,Furnished,1.0
OWNER,1.0,RK,Studio Apartment,Shadipur,9000.0,560.0,Semi-Furnished,1.0
OWNER,3.0,BHK,Independent House,Karol Bagh,25000.0,891.0,Semi-Furnished,2.0
OWNER,3.0,BHK,Independent Floor,Palam,14000.0,800.0,Semi-Furnished,2.0
OWNER,1.0,BHK,Independent House,Baprola,6500.0,400.0,Semi-Furnished,2.0
OWNER,3.0,BHK,Independent Floor,Burari,17000.0,1000.0,Unfurnished,2.0
OWNER,2.0,BHK,Independent House,Pochanpur Colony,15000.0,850.0,Semi-Furnished,2.0
OWNER,2.0,BHK,Independent Floor,Kalkaji,18000.0,1050.0,Semi-Furnished,2.0
OWNER,2.0,BHK,Apartment,Palam,12000.0,780.0,Semi-Furnished,2.0
OWNER,1.0,RK,Studio Apartment,Munirka,7000.0,150.0,Semi-Furnished,1.0
OWNER,1.0,BHK,Independent Floor,Lajpat Nagar,7500.0,750.0,Furnished,1.0
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,11000.0,450.0,Semi-Furnished,1.0
AGENT,1.0,BHK,Independent Floor,Lajpat Nagar,16000.0,500.0,Furnished,1.0
OWNER,4.0,BHK,Independent Floor,Dr Mukherji Nagar,32000.0,1200.0,Unfurnished,2.0
AGENT,3.0,BHK,Apartment,Vasant Vihar,125000.0,2500.0,Furnished,3.0
AGENT,3.0,BHK,Apartment,Sector 22 Dwarka,30000.0,1800.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Apartment,Sector 6 Dwarka,32000.0,1750.0,Semi-Furnished,2.0
OWNER,3.0,BHK,Independent Floor,Model Town,30000.0,1300.0,Unfurnished,3.0
OWNER,2.0,BHK,Apartment,Ghitorni,22000.0,1450.0,Semi-Furnished,2.0
AGENT,2.0,BHK,Apartment,New Ashok Nagar,12000.0,650.0,Semi-Furnished,2.0
AGENT,2.0,BHK,Independent Floor,Sector 23 Dwarka,14000.0,980.0,Semi-Furnished,2.0
OWNER,1.0,BHK,Independent Floor,Dwarka Mor,7500.0,550.0,Semi-Furnished,1.0
OWNER,2.0,BHK,Independent Floor,laxmi nagar,13000.0,630.0,Semi-Furnished,1.0
OWNER,3.0,BHK,Apartment,Chattarpur,22000.0,1000.0,Semi-Furnished,2.0
AGENT,4.0,BHK,Independent Floor,Sector 8 Dwarka,30000.0,1900.0,Semi-Furnished,3.0
OWNER,2.0,BHK,Independent Floor,Malviya Nagar,28000.0,1100.0,Furnished,2.0
OWNER,2.0,BHK,Independent Floor,Wazirabad,8000.0,484.0,Unfurnished,1.0
OWNER,2.0,BHK,Independent Floor,Mahavir Enclave,15000.0,800.0,Semi-Furnished,2.0
OWNER,2.0,BHK,Independent Floor,Dwarka Mor,13000.0,600.0,Furnished,1.0
AGENT,3.0,BHK,Independent Floor,Neeti Bagh,80000.0,2000.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Neeti Bagh,150000.0,4000.0,Semi-Furnished,3.0
OWNER,3.0,BHK,Apartment,Vasant Kunj,41000.0,1500.0,Furnished,2.0
AGENT,1.0,BHK,Independent House,Malviya Nagar,12000.0,500.0,Unfurnished,1.0
OWNER,1.0,RK,Studio Apartment,Kalkaji,16000.0,280.0,Furnished,1.0
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,13500.0,650.0,Semi-Furnished,1.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Park,110000.0,3600.0,Semi-Furnished,3.0
AGENT,2.0,BHK,Independent Floor,Defence Colony,72000.0,2020.0,Furnished,2.0
