SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
1.0,2.0,1.0,3.0,21,20000.0,1450.0,2.0,2.0
1.0,1.0,0.0,0.0,24,7350.0,210.0,1.0,1.0
1.0,3.0,1.0,3.0,65,22000.0,1900.0,0.0,3.0
1.0,2.0,1.0,2.0,137,13000.0,1285.0,1.0,2.0
1.0,2.0,1.0,2.0,110,18000.0,1600.0,2.0,2.0
1.0,1.0,1.0,3.0,179,8500.0,570.0,0.0,1.0
1.0,1.0,0.0,0.0,64,6000.0,180.0,1.0,1.0
1.0,2.0,1.0,3.0,122,12000.0,1200.0,1.0,2.0
1.0,2.0,1.0,3.0,153,13000.0,1126.0,1.0,2.0
1.0,4.0,1.0,2.0,90,38500.0,3500.0,2.0,4.0
1.0,1.0,0.0,0.0,42,6000.0,400.0,1.0,1.0
1.0,2.0,1.0,3.0,90,15000.0,990.0,0.0,2.0
2.0,3.0,1.0,3.0,158,20000.0,1440.0,1.0,3.0
1.0,2.0,1.0,2.0,135,6500.0,900.0,0.0,1.0
2.0,2.0,1.0,3.0,67,25000.0,1250.0,2.0,1.0
2.0,1.0,1.0,3.0,177,13500.0,1000.0,1.0,2.0
1.0,1.0,1.0,2.0,145,8000.0,160.0,2.0,1.0
2.0,3.0,1.0,3.0,42,20000.0,1800.0,1.0,3.0
2.0,2.0,1.0,3.0,27,12500.0,1044.0,0.0,2.0
2.0,2.0,1.0,3.0,21,12000.0,810.0,0.0,2.0
2.0,3.0,1.0,3.0,23,38000.0,1985.0,2.0,3.0
2.0,2.0,1.0,3.0,129,14000.0,1256.0,0.0,2.0
1.0,1.0,1.0,2.0,42,5000.0,200.0,1.0,1.0
2.0,3.0,1.0,3.0,175,40000.0,2100.0,2.0,4.0
1.0,2.0,1.0,1.0,90,16000.0,1300.0,0.0,2.0
1.0,2.0,1.0,3.0,157,25000.0,1285.0,2.0,2.0
1.0,3.0,1.0,3.0,23,20000.0,1455.0,0.0,3.0
1.0,1.0,1.0,3.0,89,11000.0,650.0,1.0,1.0
1.0,1.0,1.0,3.0,79,10500.0,630.0,1.0,1.0
1.0,1.0,0.0,0.0,42,8000.0,300.0,1.0,1.0
1.0,3.0,1.0,3.0,153,22000.0,1800.0,0.0,3.0
1.0,3.0,1.0,5.0,45,23000.0,1800.0,1.0,3.0
1.0,2.0,1.0,3.0,21,25000.0,1200.0,2.0,2.0
1.0,1.0,1.0,3.0,44,11000.0,186.0,2.0,1.0
1.0,3.0,1.0,1.0,65,8500.0,800.0,2.0,3.0
1.0,1.0,1.0,2.0,65,12500.0,1000.0,1.0,1.0
1.0,1.0,1.0,2.0,42,9000.0,625.0,0.0,1.0
1.0,2.0,1.0,1.0,23,16000.0,1090.0,1.0,2.0
1.0,3.0,1.0,2.0,27,17000.0,1575.0,0.0,2.0
1.0,1.0,0.0,0.0,175,15000.0,400.0,2.0,1.0
1.0,3.0,1.0,3.0,94,18000.0,1200.0,1.0,2.0
1.0,2.0,1.0,3.0,113,18500.0,990.0,0.0,2.0
2.0,2.0,1.0,3.0,73,13000.0,1225.0,2.0,1.0
2.0,1.0,1.0,3.0,111,9000.0,649.0,0.0,2.0
2.0,3.0,1.0,3.0,149,32000.0,2178.0,1.0,3.0
2.0,2.0,1.0,3.0,101,23000.0,1404.0,2.0,1.0
2.0,3.0,1.0,3.0,170,30000.0,1650.0,0.0,2.0
2.0,3.0,1.0,3.0,177,32000.0,1845.0,0.0,3.0
2.0,2.0,1.0,3.0,62,11500.0,1150.0,0.0,2.0
2.0,2.0,1.0,3.0,21,26000.0,1080.0,2.0,2.0
2.0,3.0,1.0,2.0,97,18000.0,1800.0,2.0,4.0
2.0,3.0,1.0,3.0,65,35000.0,2350.0,1.0,1.0
2.0,3.0,1.0,3.0,177,40000.0,1665.0,2.0,3.0
2.0,3.0,1.0,3.0,23,29000.0,1440.0,2.0,2.0
2.0,2.0,1.0,3.0,27,25000.0,1305.0,2.0,2.0
2.0,1.0,1.0,3.0,21,14000.0,900.0,1.0,1.0
2.0,3.0,1.0,3.0,23,20500.0,1783.0,1.0,3.0
2.0,2.0,1.0,3.0,23,26000.0,1500.0,2.0,2.0
2.0,1.0,1.0,3.0,4,11000.0,1170.0,0.0,1.0
2.0,1.0,1.0,3.0,160,11000.0,690.0,1.0,1.0
2.0,1.0,1.0,3.0,157,8500.0,646.0,0.0,1.0
2.0,3.0,1.0,3.0,129,33000.0,1750.0,2.0,3.0
2.0,2.0,1.0,3.0,4,16000.0,750.0,1.0,2.0
2.0,2.0,1.0,3.0,4,25000.0,1125.0,2.0,2.0
2.0,3.0,1.0,3.0,110,28000.0,1800.0,0.0,3.0
2.0,3.0,1.0,5.0,23,20000.0,2300.0,0.0,3.0
2.0,2.0,1.0,2.0,89,20000.0,2700.0,2.0,2.0
2.0,3.0,1.0,3.0,149,30000.0,2115.0,2.0,3.0
2.0,2.0,1.0,3.0,148,22000.0,1100.0,2.0,2.0
2.0,3.0,1.0,2.0,23,30000.0,2070.0,2.0,3.0
2.0,2.0,1.0,3.0,65,18000.0,1820.0,1.0,2.0
2.0,3.0,1.0,3.0,23,20000.0,1600.0,1.0,3.0
2.0,3.0,1.0,3.0,23,35000.0,1950.0,2.0,3.0
2.0,2.0,1.0,3.0,177,25000.0,1200.0,1.0,2.0
2.0,4.0,1.0,3.0,112,43000.0,3250.0,2.0,3.0
2.0,2.0,1.0,3.0,127,15000.0,1000.0,1.0,2.0
2.0,2.0,1.0,3.0,179,16000.0,1350.0,1.0,2.0
2.0,3.0,1.0,3.0,89,42000.0,1800.0,2.0,3.0
2.0,1.0,1.0,2.0,110,9500.0,1250.0,2.0,1.0
2.0,2.0,1.0,2.0,145,15000.0,1355.0,1.0,1.0
2.0,2.0,1.0,3.0,89,18000.0,1100.0,0.0,2.0
2.0,2.0,1.0,3.0,69,8000.0,1000.0,0.0,2.0
2.0,4.0,1.0,3.0,157,45000.0,2300.0,2.0,4.0
2.0,5.0,1.0,2.0,157,35000.0,3600.0,1.0,5.0
2.0,2.0,1.0,5.0,127,35000.0,2000.0,2.0,3.0
2.0,2.0,1.0,3.0,101,15000.0,1200.0,1.0,2.0
