SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
1.0,2.0,1.0,2.0,406,20000.0,1140.0,1.0,2.0
1.0,2.0,1.0,1.0,393,8000.0,840.0,1.0,2.0
1.0,2.0,1.0,1.0,466,21000.0,1000.0,1.0,2.0
1.0,1.0,1.0,3.0,680,9000.0,550.0,1.0,1.0
1.0,3.0,1.0,3.0,156,17000.0,1230.0,2.0,3.0
1.0,3.0,1.0,3.0,841,14000.0,1200.0,1.0,2.0
1.0,3.0,1.0,3.0,131,23000.0,1650.0,1.0,2.0
1.0,1.0,1.0,2.0,444,8000.0,550.0,1.0,1.0
1.0,1.0,1.0,2.0,762,5000.0,500.0,0.0,1.0
1.0,2.0,1.0,3.0,60,10000.0,1260.0,1.0,2.0
1.0,1.0,1.0,3.0,426,9500.0,500.0,1.0,1.0
1.0,2.0,1.0,2.0,592,14000.0,1000.0,1.0,2.0
1.0,1.0,1.0,1.0,121,8000.0,500.0,1.0,1.0
1.0,1.0,0.0,0.0,393,4000.0,400.0,0.0,1.0
1.0,2.0,1.0,3.0,456,31000.0,1175.0,1.0,2.0
1.0,2.0,1.0,1.0,285,9500.0,1200.0,1.0,2.0
1.0,3.0,1.0,2.0,89,23000.0,1600.0,1.0,2.0
1.0,2.0,1.0,1.0,832,16000.0,1500.0,1.0,2.0
1.0,2.0,1.0,3.0,834,22000.0,1260.0,2.0,2.0
1.0,2.0,1.0,1.0,460,10000.0,600.0,1.0,2.0
1.0,2.0,1.0,1.0,291,12000.0,850.0,1.0,2.0
1.0,1.0,1.0,2.0,300,9000.0,1200.0,1.0,1.0
1.0,1.0,1.0,3.0,80,11000.0,500.0,1.0,1.0
1.0,1.0,1.0,1.0,476,8000.0,600.0,1.0,1.0
1.0,1.0,1.0,2.0,331,8000.0,1200.0,0.0,1.0
1.0,3.0,1.0,3.0,834,23900.0,1414.0,1.0,3.0
1.0,2.0,1.0,3.0,280,24500.0,1126.0,2.0,2.0
1.0,2.0,1.0,2.0,340,12500.0,600.0,1.0,1.0
1.0,3.0,1.0,1.0,762,12000.0,900.0,1.0,2.0
1.0,1.0,1.0,1.0,331,15000.0,800.0,1.0,1.0
1.0,1.0,0.0,0.0,104,13500.0,600.0,1.0,1.0
1.0,2.0,1.0,3.0,143,21000.0,1150.0,1.0,2.0
1.0,2.0,1.0,2.0,96,13000.0,1000.0,0.0,1.0
1.0,1.0,0.0,0.0,623,4500.0,200.0,1.0,1.0
1.0,2.0,1.0,2.0,392,9000.0,650.0,0.0,1.0
1.0,1.0,0.0,0.0,649,3500.0,150.0,0.0,1.0
1.0,2.0,1.0,3.0,73,12000.0,700.0,2.0,2.0
1.0,2.0,1.0,3.0,456,14000.0,1190.0,1.0,2.0
1.0,1.0,1.0,1.0,810,7000.0,600.0,1.0,1.0
1.0,2.0,1.0,3.0,805,20000.0,1050.0,1.0,2.0
1.0,2.0,1.0,3.0,143,12500.0,550.0,1.0,1.0
1.0,1.0,1.0,3.0,235,19000.0,720.0,1.0,2.0
1.0,2.0,1.0,3.0,280,25000.0,1100.0,2.0,2.0
1.0,2.0,1.0,2.0,395,21000.0,1250.0,1.0,2.0
1.0,2.0,1.0,1.0,115,16500.0,1100.0,1.0,2.0
1.0,1.0,1.0,3.0,543,9000.0,690.0,1.0,1.0
1.0,1.0,0.0,0.0,832,6000.0,255.0,2.0,1.0
1.0,2.0,1.0,3.0,805,16000.0,1096.0,1.0,2.0
1.0,2.0,1.0,1.0,841,15000.0,700.0,1.0,2.0
1.0,1.0,1.0,2.0,285,8000.0,660.0,1.0,1.0
1.0,1.0,1.0,2.0,570,11000.0,600.0,1.0,2.0
1.0,3.0,1.0,1.0,80,16000.0,1200.0,1.0,2.0
1.0,1.0,1.0,3.0,237,8000.0,650.0,1.0,1.0
1.0,1.0,1.0,3.0,285,8500.0,500.0,1.0,1.0
1.0,3.0,1.0,3.0,369,34000.0,1540.0,1.0,2.0
1.0,1.0,0.0,0.0,340,1700.0,250.0,0.0,1.0
1.0,2.0,1.0,2.0,283,17500.0,1200.0,1.0,2.0
1.0,2.0,1.0,2.0,542,21000.0,1350.0,1.0,3.0
1.0,3.0,1.0,3.0,476,20000.0,1500.0,2.0,3.0
1.0,1.0,1.0,1.0,787,8000.0,550.0,1.0,1.0
1.0,1.0,1.0,1.0,232,10000.0,1200.0,1.0,1.0
1.0,3.0,1.0,2.0,640,28000.0,1500.0,1.0,2.0
1.0,3.0,1.0,3.0,770,20000.0,1415.0,1.0,2.0
1.0,3.0,1.0,3.0,346,21000.0,1600.0,1.0,2.0
1.0,1.0,0.0,0.0,242,9000.0,250.0,2.0,1.0
1.0,3.0,1.0,3.0,137,20000.0,1264.0,2.0,2.0
1.0,2.0,1.0,3.0,573,17500.0,1400.0,1.0,2.0
1.0,3.0,1.0,3.0,36,23000.0,1239.0,1.0,2.0
1.0,2.0,1.0,3.0,193,15500.0,1200.0,1.0,2.0
1.0,1.0,1.0,3.0,344,11000.0,730.0,1.0,1.0
1.0,2.0,1.0,2.0,463,8000.0,1200.0,1.0,2.0
1.0,2.0,1.0,3.0,286,14000.0,900.0,1.0,2.0
1.0,2.0,1.0,3.0,793,25000.0,1250.0,1.0,2.0
1.0,1.0,1.0,2.0,791,6500.0,600.0,1.0,1.0
1.0,1.0,0.0,0.0,671,12000.0,800.0,1.0,1.0
1.0,2.0,1.0,1.0,405,15000.0,900.0,1.0,2.0
1.0,1.0,1.0,2.0,220,8500.0,500.0,1.0,1.0
2.0,1.0,1.0,3.0,190,20000.0,500.0,2.0,1.0
1.0,2.0,1.0,1.0,580,16000.0,1100.0,1.0,2.0
1.0,2.0,1.0,1.0,793,11700.0,650.0,1.0,1.0
