SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
0.0,3.0,1.0,3.0,12,17000.0,1570.0,1.0,2.0
0.0,2.0,1.0,3.0,128,16000.0,1402.0,1.0,2.0
0.0,2.0,1.0,3.0,6,20000.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,300,14000.0,1180.0,0.0,2.0
0.0,1.0,1.0,1.0,190,7000.0,400.0,0.0,1.0
0.0,1.0,1.0,1.0,55,8500.0,500.0,1.0,2.0
0.0,2.0,1.0,3.0,182,10000.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,360,15000.0,615.0,0.0,2.0
0.0,2.0,1.0,3.0,258,25000.0,1000.0,2.0,2.0
0.0,2.0,1.0,3.0,339,11000.0,905.0,0.0,2.0
0.0,2.0,1.0,3.0,13,13000.0,1200.0,1.0,2.0
0.0,3.0,1.0,1.0,356,12500.0,1500.0,1.0,3.0
0.0,3.0,1.0,2.0,236,32000.0,2100.0,1.0,3.0
0.0,1.0,1.0,2.0,139,5500.0,250.0,0.0,1.0
0.0,2.0,1.0,1.0,160,8500.0,720.0,0.0,2.0
0.0,3.0,1.0,3.0,260,18000.0,1765.0,0.0,3.0
0.0,1.0,1.0,2.0,182,7500.0,550.0,1.0,1.0
0.0,3.0,1.0,1.0,131,30000.0,1000.0,1.0,2.0
0.0,2.0,1.0,3.0,306,12000.0,750.0,0.0,2.0
0.0,3.0,1.0,1.0,362,25000.0,1750.0,2.0,3.0
0.0,2.0,1.0,2.0,199,15000.0,650.0,0.0,1.0
0.0,1.0,1.0,2.0,286,7000.0,600.0,0.0,1.0
0.0,1.0,1.0,3.0,33,10000.0,650.0,1.0,1.0
0.0,2.0,1.0,3.0,79,7500.0,752.0,1.0,2.0
0.0,3.0,1.0,3.0,125,14000.0,1100.0,1.0,3.0
0.0,2.0,1.0,3.0,56,9500.0,850.0,1.0,2.0
0.0,2.0,1.0,2.0,385,8500.0,800.0,0.0,1.0
0.0,2.0,1.0,1.0,125,10000.0,1223.0,1.0,1.0
0.0,2.0,1.0,3.0,322,22000.0,900.0,1.0,2.0
0.0,1.0,1.0,2.0,390,11500.0,600.0,0.0,1.0
0.0,2.0,1.0,3.0,242,14000.0,1250.0,1.0,2.0
0.0,1.0,1.0,1.0,205,8000.0,500.0,1.0,1.0
0.0,1.0,1.0,2.0,343,14000.0,660.0,1.0,1.0
0.0,1.0,1.0,1.0,343,17000.0,1400.0,2.0,1.0
0.0,1.0,1.0,2.0,260,13000.0,1000.0,1.0,1.0
0.0,2.0,1.0,2.0,288,13000.0,700.0,0.0,1.0
0.0,1.0,0.0,0.0,190,4500.0,300.0,0.0,1.0
0.0,2.0,1.0,3.0,255,20000.0,1150.0,1.0,2.0
0.0,3.0,1.0,1.0,266,14000.0,1280.0,0.0,3.0
0.0,2.0,1.0,1.0,386,13500.0,1000.0,1.0,2.0
0.0,3.0,1.0,3.0,264,30000.0,1620.0,1.0,3.0
0.0,1.0,1.0,2.0,165,5200.0,400.0,0.0,1.0
0.0,1.0,0.0,0.0,260,10000.0,300.0,2.0,1.0
0.0,3.0,1.0,1.0,253,18500.0,1385.0,0.0,2.0
0.0,4.0,1.0,4.0,371,30000.0,1700.0,1.0,4.0
0.0,3.0,1.0,3.0,88,40000.0,1938.0,1.0,3.0
0.0,1.0,1.0,1.0,196,10500.0,1000.0,1.0,1.0
0.0,2.0,1.0,3.0,306,13000.0,1010.0,0.0,2.0
0.0,2.0,1.0,2.0,163,12500.0,1250.0,0.0,2.0
0.0,2.0,1.0,3.0,15,18000.0,1100.0,1.0,2.0
0.0,3.0,1.0,2.0,45,38000.0,1800.0,0.0,2.0
0.0,3.0,1.0,2.0,191,33000.0,1600.0,0.0,3.0
0.0,3.0,1.0,3.0,56,15000.0,1100.0,0.0,2.0
0.0,2.0,1.0,3.0,264,14000.0,1100.0,1.0,2.0
0.0,1.0,1.0,1.0,30,4000.0,350.0,0.0,1.0
0.0,2.0,1.0,2.0,75,20000.0,400.0,1.0,2.0
0.0,3.0,1.0,1.0,274,16000.0,850.0,0.0,2.0
0.0,3.0,1.0,1.0,11,40000.0,1500.0,1.0,3.0
0.0,3.0,1.0,3.0,10,36000.0,1418.0,1.0,3.0
0.0,1.0,1.0,2.0,56,6500.0,400.0,0.0,1.0
0.0,2.0,1.0,2.0,182,9500.0,770.0,1.0,2.0
0.0,2.0,1.0,1.0,386,16000.0,1000.0,0.0,2.0
0.0,2.0,1.0,3.0,291,24000.0,1024.0,1.0,2.0
0.0,2.0,1.0,3.0,148,15000.0,1017.0,1.0,2.0
0.0,1.0,1.0,2.0,12,6500.0,450.0,0.0,1.0
0.0,2.0,1.0,3.0,12,8700.0,600.0,1.0,2.0
0.0,1.0,1.0,3.0,131,25000.0,653.0,1.0,2.0
0.0,1.0,1.0,2.0,158,10000.0,750.0,1.0,2.0
0.0,2.0,1.0,3.0,362,12500.0,700.0,1.0,2.0
0.0,2.0,1.0,3.0,69,12000.0,600.0,1.0,2.0
0.0,3.0,1.0,3.0,233,18000.0,1250.0,1.0,3.0
0.0,3.0,1.0,1.0,131,42000.0,1900.0,1.0,4.0
0.0,2.0,1.0,3.0,260,23000.0,1125.0,1.0,2.0
0.0,2.0,1.0,2.0,133,20000.0,900.0,0.0,3.0
0.0,2.0,1.0,3.0,232,15000.0,1300.0,1.0,2.0
0.0,1.0,1.0,1.0,97,10000.0,600.0,0.0,1.0
0.0,3.0,1.0,3.0,242,15000.0,1300.0,0.0,2.0
0.0,2.0,1.0,3.0,19,16000.0,720.0,1.0,2.0
0.0,2.0,1.0,2.0,139,15000.0,900.0,1.0,2.0
0.0,4.0,1.0,4.0,283,20000.0,2450.0,1.0,3.0
0.0,2.0,1.0,3.0,12,10500.0,1000.0,0.0,3.0
0.0,2.0,1.0,3.0,362,15000.0,935.0,1.0,2.0
0.0,2.0,1.0,1.0,242,10500.0,1200.0,1.0,2.0
0.0,1.0,1.0,3.0,45,23000.0,580.0,1.0,2.0
0.0,2.0,1.0,3.0,371,15000.0,800.0,0.0,1.0
0.0,2.0,1.0,3.0,142,9500.0,650.0,1.0,2.0
0.0,1.0,1.0,1.0,190,13000.0,800.0,1.0,1.0
0.0,3.0,1.0,1.0,242,13000.0,1350.0,0.0,2.0
0.0,1.0,1.0,3.0,243,9000.0,465.0,1.0,1.0
0.0,2.0,1.0,3.0,56,13000.0,950.0,0.0,2.0
0.0,3.0,1.0,3.0,265,28000.0,1428.0,1.0,3.0
0.0,1.0,1.0,2.0,286,6500.0,600.0,0.0,1.0
0.0,1.0,1.0,2.0,139,6500.0,650.0,0.0,1.0
1.0,3.0,1.0,3.0,6,45000.0,1952.0,1.0,3.0
1.0,3.0,1.0,3.0,6,40000.0,1751.0,1.0,3.0
1.0,3.0,1.0,3.0,6,40000.0,1750.0,1.0,3.0
1.0,2.0,1.0,3.0,6,34000.0,1351.0,1.0,2.0
1.0,2.0,1.0,3.0,6,34000.0,1350.0,1.0,2.0
1.0,3.0,1.0,3.0,343,35000.0,1451.0,1.0,2.0
1.0,2.0,1.0,3.0,6,36000.0,1351.0,1.0,2.0
1.0,2.0,1.0,3.0,6,36000.0,1350.0,1.0,2.0
1.0,3.0,1.0,3.0,6,40000.0,2101.0,1.0,3.0
1.0,3.0,1.0,3.0,6,40000.0,2100.0,1.0,3.0
1.0,3.0,1.0,3.0,343,45000.0,1851.0,1.0,3.0
1.0,3.0,1.0,3.0,343,45000.0,1850.0,1.0,3.0
0.0,1.0,0.0,0.0,26,5000.0,350.0,0.0,1.0
0.0,3.0,1.0,1.0,45,30000.0,1800.0,0.0,2.0
0.0,2.0,1.0,1.0,274,14000.0,500.0,0.0,1.0
1.0,3.0,1.0,3.0,343,38000.0,1650.0,1.0,3.0
0.0,1.0,1.0,1.0,20,6500.0,500.0,1.0,1.0
1.0,2.0,1.0,3.0,6,40000.0,1500.0,1.0,2.0
0.0,2.0,1.0,2.0,158,15000.0,1260.0,1.0,3.0
0.0,3.0,1.0,2.0,209,32000.0,2000.0,1.0,3.0
0.0,2.0,1.0,3.0,182,9000.0,750.0,1.0,2.0
1.0,3.0,1.0,1.0,145,40000.0,2400.0,2.0,3.0
1.0,2.0,1.0,3.0,68,38000.0,1100.0,2.0,2.0
1.0,3.0,1.0,3.0,260,25000.0,1850.0,2.0,3.0
1.0,3.0,1.0,3.0,343,38000.0,1850.0,1.0,3.0
0.0,2.0,1.0,3.0,30,7500.0,750.0,1.0,2.0
0.0,1.0,1.0,3.0,220,12000.0,550.0,2.0,1.0
0.0,3.0,1.0,3.0,264,21000.0,1447.0,1.0,2.0
0.0,2.0,1.0,2.0,182,9000.0,750.0,0.0,1.0
0.0,3.0,1.0,1.0,11,42000.0,1400.0,1.0,2.0
0.0,1.0,1.0,3.0,196,7000.0,450.0,0.0,1.0
0.0,2.0,1.0,3.0,165,17000.0,1100.0,0.0,2.0
0.0,2.0,1.0,3.0,33,10000.0,750.0,0.0,1.0
0.0,2.0,1.0,3.0,343,16500.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,16,7000.0,700.0,1.0,2.0
0.0,2.0,1.0,2.0,384,15000.0,850.0,0.0,2.0
0.0,2.0,1.0,1.0,23,22500.0,1000.0,0.0,2.0
0.0,2.0,1.0,3.0,260,14000.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,260,13000.0,800.0,1.0,2.0
0.0,4.0,1.0,4.0,143,35000.0,2400.0,1.0,4.0
0.0,4.0,1.0,3.0,275,25000.0,1700.0,1.0,3.0
0.0,2.0,1.0,3.0,360,26000.0,1000.0,2.0,2.0
0.0,2.0,1.0,3.0,253,13000.0,800.0,1.0,1.0
0.0,2.0,1.0,3.0,131,25000.0,970.0,0.0,2.0
0.0,2.0,1.0,1.0,388,13500.0,1200.0,1.0,1.0
0.0,2.0,1.0,1.0,182,23000.0,2000.0,1.0,2.0
0.0,3.0,1.0,2.0,265,25000.0,1650.0,1.0,3.0
0.0,1.0,1.0,3.0,322,12500.0,1200.0,1.0,1.0
0.0,1.0,0.0,0.0,322,8500.0,350.0,1.0,1.0
0.0,1.0,1.0,3.0,156,8000.0,700.0,1.0,1.0
0.0,2.0,1.0,1.0,237,11500.0,660.0,1.0,1.0
0.0,1.0,1.0,1.0,386,7000.0,1500.0,0.0,1.0
0.0,2.0,1.0,3.0,207,18000.0,1055.0,1.0,2.0
0.0,2.0,1.0,3.0,207,18000.0,1050.0,1.0,2.0
0.0,3.0,1.0,3.0,264,35000.0,1426.0,1.0,3.0
0.0,1.0,1.0,3.0,172,6000.0,464.0,1.0,1.0
0.0,2.0,1.0,3.0,12,10000.0,650.0,0.0,2.0
0.0,3.0,1.0,3.0,309,31000.0,2120.0,2.0,3.0
0.0,2.0,1.0,3.0,377,17000.0,1100.0,0.0,2.0
0.0,2.0,1.0,2.0,288,20000.0,1100.0,1.0,2.0
0.0,2.0,1.0,1.0,30,7500.0,900.0,0.0,1.0
0.0,3.0,1.0,3.0,356,16000.0,1294.0,1.0,2.0
0.0,2.0,1.0,3.0,306,16100.0,1050.0,2.0,2.0
0.0,2.0,1.0,1.0,389,15000.0,1300.0,1.0,2.0
0.0,2.0,1.0,1.0,242,9000.0,750.0,0.0,2.0
0.0,2.0,1.0,3.0,255,20000.0,1200.0,1.0,2.0
0.0,4.0,1.0,3.0,384,20000.0,5000.0,1.0,2.0
0.0,2.0,1.0,3.0,329,8000.0,616.0,1.0,1.0
0.0,2.0,1.0,2.0,2,18000.0,1300.0,2.0,1.0
0.0,2.0,1.0,2.0,190,15000.0,1100.0,1.0,2.0
0.0,3.0,1.0,2.0,253,30000.0,1650.0,0.0,3.0
0.0,1.0,1.0,1.0,386,9000.0,550.0,0.0,1.0
0.0,2.0,1.0,2.0,371,15000.0,1000.0,1.0,2.0
0.0,3.0,1.0,1.0,163,14000.0,1200.0,0.0,2.0
0.0,2.0,1.0,3.0,11,35000.0,1100.0,1.0,2.0
0.0,2.0,1.0,3.0,260,21000.0,1400.0,2.0,2.0
0.0,2.0,1.0,2.0,306,12000.0,750.0,1.0,2.0
0.0,2.0,1.0,1.0,375,10500.0,950.0,1.0,2.0
0.0,2.0,1.0,1.0,237,12000.0,660.0,1.0,1.0
0.0,2.0,1.0,1.0,283,11000.0,900.0,0.0,2.0
0.0,2.0,1.0,2.0,142,11000.0,750.0,0.0,2.0
0.0,2.0,1.0,2.0,11,25000.0,1200.0,1.0,3.0
0.0,3.0,1.0,3.0,142,45000.0,2340.0,1.0,3.0
0.0,3.0,1.0,1.0,390,45000.0,2600.0,1.0,3.0
0.0,1.0,1.0,3.0,96,15000.0,1100.0,2.0,1.0
0.0,1.0,1.0,1.0,260,12000.0,750.0,0.0,1.0
0.0,2.0,1.0,3.0,322,12000.0,720.0,0.0,2.0
0.0,2.0,1.0,2.0,265,13000.0,980.0,1.0,2.0
0.0,2.0,1.0,1.0,182,14000.0,1100.0,1.0,2.0
0.0,2.0,1.0,3.0,309,15000.0,1425.0,1.0,2.0
0.0,1.0,1.0,3.0,165,11000.0,650.0,0.0,1.0
0.0,2.0,1.0,3.0,326,10000.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,326,15000.0,1050.0,0.0,2.0
0.0,2.0,1.0,2.0,223,9000.0,900.0,0.0,1.0
0.0,1.0,1.0,3.0,326,8000.0,800.0,0.0,1.0
0.0,1.0,1.0,3.0,259,7500.0,700.0,0.0,1.0
0.0,1.0,1.0,3.0,87,7500.0,650.0,0.0,1.0
0.0,2.0,1.0,1.0,286,9000.0,750.0,1.0,2.0
0.0,2.0,1.0,3.0,356,6000.0,630.0,1.0,1.0
0.0,1.0,1.0,1.0,143,9000.0,600.0,1.0,1.0
0.0,2.0,1.0,3.0,263,11000.0,700.0,1.0,2.0
0.0,2.0,1.0,3.0,371,21000.0,1004.0,1.0,2.0
0.0,2.0,1.0,3.0,371,18000.0,1050.0,1.0,2.0
0.0,2.0,1.0,2.0,55,15000.0,700.0,0.0,2.0
0.0,2.0,1.0,3.0,27,18000.0,980.0,1.0,2.0
0.0,2.0,1.0,3.0,136,9000.0,700.0,0.0,2.0
1.0,1.0,1.0,4.0,238,40000.0,800.0,2.0,1.0
1.0,2.0,1.0,3.0,6,45000.0,1431.0,1.0,2.0
1.0,3.0,1.0,1.0,143,17500.0,1250.0,1.0,2.0
1.0,2.0,1.0,2.0,143,22000.0,1200.0,1.0,2.0
1.0,2.0,1.0,2.0,143,18000.0,1200.0,1.0,2.0
1.0,2.0,1.0,3.0,2,20000.0,900.0,0.0,2.0
1.0,3.0,1.0,3.0,6,35000.0,1200.0,2.0,3.0
1.0,2.0,1.0,3.0,2,14000.0,1050.0,2.0,2.0
1.0,3.0,1.0,3.0,167,24000.0,1595.0,1.0,3.0
1.0,2.0,1.0,3.0,167,15000.0,1000.0,1.0,2.0
1.0,2.0,1.0,3.0,167,17000.0,1200.0,1.0,3.0
1.0,3.0,1.0,3.0,167,21000.0,1401.0,1.0,3.0
1.0,1.0,1.0,3.0,167,12500.0,624.0,2.0,1.0
1.0,3.0,1.0,4.0,167,29005.0,2283.0,2.0,3.0
1.0,1.0,1.0,3.0,167,13000.0,624.0,1.0,1.0
1.0,2.0,1.0,3.0,167,16500.0,950.0,1.0,2.0
1.0,3.0,1.0,3.0,167,24000.0,1600.0,1.0,3.0
1.0,3.0,1.0,4.0,167,30000.0,3300.0,1.0,4.0
1.0,3.0,1.0,3.0,167,23000.0,1600.0,1.0,3.0
1.0,3.0,1.0,3.0,167,21000.0,1400.0,1.0,3.0
1.0,1.0,1.0,3.0,179,12900.0,624.0,1.0,1.0
1.0,1.0,1.0,3.0,167,11000.0,600.0,1.0,1.0
1.0,1.0,1.0,3.0,167,13000.0,581.0,1.0,1.0
1.0,1.0,1.0,3.0,167,11000.0,600.0,2.0,1.0
1.0,1.0,1.0,3.0,167,12000.0,600.0,1.0,1.0
1.0,3.0,1.0,3.0,167,20000.0,1400.0,1.0,3.0
1.0,3.0,1.0,3.0,167,20100.0,1401.0,1.0,3.0
1.0,3.0,1.0,3.0,167,20500.0,1474.0,1.0,3.0
1.0,1.0,1.0,3.0,167,14000.0,624.0,2.0,1.0
1.0,1.0,1.0,3.0,167,15000.0,624.0,2.0,1.0
1.0,2.0,1.0,3.0,167,17000.0,836.0,2.0,2.0
1.0,2.0,1.0,3.0,167,19000.0,836.0,2.0,2.0
1.0,3.0,1.0,3.0,167,25000.0,1600.0,2.0,3.0
1.0,3.0,1.0,3.0,167,24005.0,1595.0,2.0,3.0
1.0,2.0,1.0,3.0,167,16000.0,1000.0,1.0,2.0
1.0,2.0,1.0,3.0,167,15500.0,836.0,1.0,2.0
1.0,2.0,1.0,3.0,167,13500.0,836.0,1.0,2.0
1.0,1.0,1.0,3.0,167,14000.0,581.0,1.0,1.0
1.0,2.0,1.0,3.0,167,14000.0,836.0,1.0,2.0
1.0,2.0,1.0,3.0,167,13500.0,835.0,1.0,2.0
1.0,2.0,1.0,3.0,167,13900.0,836.0,1.0,2.0
1.0,2.0,1.0,3.0,167,13800.0,836.0,1.0,2.0
1.0,2.0,1.0,3.0,167,13700.0,836.0,1.0,2.0
1.0,2.0,1.0,3.0,167,15000.0,834.0,1.0,2.0
1.0,3.0,1.0,4.0,308,30000.0,2200.0,1.0,3.0
1.0,3.0,1.0,4.0,167,29000.0,2200.0,1.0,3.0
1.0,3.0,1.0,4.0,308,29750.0,2100.0,1.0,3.0
1.0,3.0,1.0,4.0,167,29500.0,2200.0,1.0,3.0
1.0,3.0,1.0,4.0,308,29650.0,2100.0,1.0,3.0
1.0,2.0,1.0,3.0,167,17500.0,950.0,1.0,2.0
1.0,2.0,1.0,3.0,130,12000.0,900.0,0.0,2.0
1.0,2.0,1.0,3.0,322,25000.0,1000.0,1.0,2.0
1.0,2.0,1.0,3.0,322,27000.0,1200.0,1.0,2.0
1.0,2.0,1.0,3.0,306,21000.0,1000.0,1.0,2.0
1.0,3.0,1.0,1.0,306,30000.0,1250.0,1.0,2.0
1.0,3.0,1.0,4.0,306,28000.0,1300.0,1.0,3.0
1.0,2.0,1.0,3.0,322,22000.0,1000.0,1.0,2.0
1.0,3.0,1.0,3.0,322,40000.0,2000.0,2.0,3.0
1.0,2.0,1.0,3.0,322,35000.0,1300.0,2.0,1.0
1.0,2.0,1.0,3.0,371,16000.0,980.0,1.0,2.0
1.0,2.0,1.0,3.0,371,16500.0,1050.0,1.0,2.0
1.0,3.0,1.0,3.0,386,40000.0,1713.0,1.0,3.0
1.0,2.0,1.0,3.0,322,35000.0,1400.0,1.0,2.0
1.0,4.0,1.0,4.0,301,35000.0,2400.0,2.0,4.0
1.0,3.0,1.0,3.0,88,28000.0,1494.0,1.0,3.0
1.0,2.0,1.0,3.0,322,25000.0,1050.0,1.0,2.0
1.0,2.0,1.0,3.0,306,25000.0,1100.0,1.0,2.0
1.0,2.0,1.0,3.0,371,15000.0,950.0,1.0,4.0
1.0,2.0,1.0,3.0,371,15000.0,1000.0,1.0,4.0
1.0,2.0,1.0,3.0,371,15000.0,975.0,1.0,4.0
1.0,2.0,1.0,3.0,371,14250.0,950.0,1.0,4.0
1.0,1.0,1.0,3.0,371,16000.0,900.0,1.0,2.0
1.0,1.0,1.0,3.0,371,15000.0,1000.0,1.0,2.0
1.0,1.0,1.0,3.0,371,15000.0,900.0,1.0,2.0
1.0,2.0,1.0,3.0,371,15000.0,900.0,1.0,2.0
1.0,2.0,1.0,3.0,371,17000.0,900.0,0.0,2.0
1.0,2.0,1.0,3.0,371,15000.0,1000.0,1.0,2.0
1.0,3.0,1.0,3.0,371,17500.0,1100.0,1.0,3.0
1.0,2.0,1.0,3.0,371,15000.0,850.0,0.0,1.0
1.0,2.0,1.0,3.0,371,15000.0,850.0,1.0,2.0
1.0,2.0,1.0,3.0,163,15000.0,900.0,1.0,2.0
1.0,3.0,1.0,1.0,306,30000.0,1500.0,1.0,2.0
1.0,2.0,1.0,3.0,2,17000.0,900.0,0.0,2.0
1.0,2.0,1.0,3.0,322,35000.0,800.0,1.0,2.0
1.0,4.0,1.0,4.0,306,45000.0,2000.0,1.0,3.0
1.0,2.0,1.0,3.0,322,24000.0,1100.0,0.0,2.0
1.0,2.0,1.0,3.0,371,18000.0,1100.0,1.0,2.0
1.0,3.0,1.0,4.0,306,28000.0,1800.0,1.0,3.0
