SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
0.0,1.0,0.0,0.0,627,9999.0,500.0,2.0,1.0
0.0,1.0,1.0,1.0,543,18500.0,750.0,1.0,1.0
0.0,2.0,1.0,1.0,456,13000.0,1050.0,1.0,2.0
0.0,1.0,1.0,1.0,346,10000.0,550.0,2.0,1.0
0.0,2.0,1.0,2.0,274,13500.0,648.0,2.0,1.0
0.0,3.0,1.0,2.0,299,65000.0,1500.0,1.0,2.0
0.0,2.0,1.0,2.0,537,16000.0,659.0,1.0,2.0
0.0,2.0,1.0,2.0,247,9500.0,700.0,0.0,2.0
0.0,2.0,1.0,2.0,388,16000.0,684.0,0.0,1.0
0.0,1.0,1.0,2.0,618,7500.0,450.0,0.0,1.0
0.0,2.0,1.0,2.0,213,21000.0,750.0,1.0,2.0
0.0,1.0,1.0,2.0,637,13000.0,450.0,2.0,1.0
0.0,1.0,0.0,0.0,550,9000.0,560.0,1.0,1.0
0.0,3.0,1.0,3.0,244,25000.0,891.0,1.0,2.0
0.0,3.0,1.0,2.0,370,14000.0,800.0,1.0,2.0
0.0,1.0,1.0,3.0,37,6500.0,400.0,1.0,2.0
0.0,3.0,1.0,2.0,70,17000.0,1000.0,0.0,2.0
0.0,2.0,1.0,3.0,391,15000.0,850.0,1.0,2.0
0.0,2.0,1.0,2.0,232,18000.0,1050.0,1.0,2.0
0.0,2.0,1.0,1.0,370,12000.0,780.0,1.0,2.0
0.0,1.0,0.0,0.0,329,7000.0,150.0,1.0,1.0
0.0,1.0,1.0,2.0,267,7500.0,750.0,2.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,450.0,1.0,1.0
2.0,1.0,1.0,2.0,267,16000.0,500.0,2.0,1.0
0.0,4.0,1.0,2.0,121,32000.0,1200.0,0.0,2.0
2.0,3.0,1.0,1.0,630,125000.0,2500.0,2.0,3.0
2.0,3.0,1.0,1.0,500,30000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,522,32000.0,1750.0,1.0,2.0
0.0,3.0,1.0,2.0,320,30000.0,1300.0,0.0,3.0
0.0,2.0,1.0,1.0,160,22000.0,1450.0,1.0,2.0
2.0,2.0,1.0,1.0,346,12000.0,650.0,1.0,2.0
2.0,2.0,1.0,2.0,502,14000.0,980.0,1.0,2.0
0.0,1.0,1.0,2.0,124,7500.0,550.0,1.0,1.0
0.0,2.0,1.0,2.0,274,13000.0,630.0,1.0,1.0
0.0,3.0,1.0,1.0,80,22000.0,1000.0,1.0,2.0
2.0,4.0,1.0,2.0,528,30000.0,1900.0,1.0,3.0
0.0,2.0,1.0,2.0,299,28000.0,1100.0,2.0,2.0
0.0,2.0,1.0,2.0,648,8000.0,484.0,0.0,1.0
0.0,2.0,1.0,2.0,288,15000.0,800.0,1.0,2.0
0.0,2.0,1.0,2.0,124,13000.0,600.0,2.0,1.0
2.0,3.0,1.0,2.0,342,80000.0,2000.0,1.0,3.0
2.0,3.0,1.0,2.0,342,150000.0,4000.0,1.0,3.0
0.0,3.0,1.0,1.0,627,41000.0,1500.0,2.0,2.0
2.0,1.0,1.0,3.0,299,12000.0,500.0,0.0,1.0
0.0,1.0,0.0,0.0,232,16000.0,280.0,2.0,1.0
2.0,2.0,1.0,2.0,314,13500.0,650.0,1.0,1.0
2.0,3.0,1.0,2.0,374,110000.0,3600.0,1.0,3.0
2.0,2.0,1.0,2.0,102,72000.0,2020.0,2.0,2.0
0.0,1.0,1.0,2.0,316,15000.0,450.0,1.0,1.0
0.0,2.0,1.0,1.0,528,16500.0,750.0,1.0,2.0
0.0,2.0,1.0,1.0,26,8500.0,500.0,0.0,1.0
0.0,1.0,0.0,0.0,316,6000.0,450.0,1.0,1.0
2.0,2.0,1.0,1.0,456,45000.0,1800.0,2.0,3.0
0.0,2.0,1.0,2.0,611,17500.0,700.0,2.0,2.0
0.0,2.0,1.0,2.0,561,18000.0,1000.0,0.0,1.0
0.0,3.0,1.0,2.0,388,35000.0,1426.0,2.0,2.0
0.0,1.0,1.0,2.0,474,7500.0,500.0,1.0,1.0
0.0,1.0,1.0,1.0,314,10000.0,500.0,0.0,1.0
0.0,2.0,1.0,2.0,428,20000.0,900.0,0.0,1.0
0.0,1.0,1.0,1.0,220,10400.0,650.0,1.0,2.0
0.0,3.0,1.0,2.0,232,58000.0,1800.0,1.0,3.0
0.0,2.0,1.0,1.0,21,21000.0,891.0,1.0,2.0
0.0,2.0,1.0,2.0,530,15000.0,665.0,1.0,1.0
0.0,1.0,1.0,1.0,653,11000.0,450.0,1.0,1.0
0.0,1.0,0.0,0.0,637,7500.0,500.0,2.0,1.0
0.0,1.0,0.0,0.0,458,5000.0,900.0,0.0,1.0
0.0,1.0,1.0,1.0,80,8000.0,800.0,1.0,1.0
0.0,2.0,1.0,1.0,80,18000.0,850.0,2.0,3.0
0.0,2.0,1.0,2.0,634,25000.0,900.0,1.0,2.0
0.0,2.0,1.0,1.0,341,13000.0,1000.0,0.0,2.0
0.0,1.0,0.0,0.0,456,8500.0,450.0,2.0,1.0
0.0,1.0,0.0,0.0,456,12000.0,370.0,1.0,1.0
0.0,3.0,1.0,1.0,323,60000.0,2000.0,1.0,2.0
0.0,2.0,1.0,1.0,21,20000.0,1000.0,1.0,1.0
0.0,2.0,1.0,1.0,305,11000.0,544.0,0.0,2.0
0.0,1.0,0.0,0.0,242,14000.0,370.0,1.0,1.0
0.0,6.0,1.0,2.0,168,80000.0,2000.0,2.0,3.0
0.0,4.0,1.0,2.0,299,99000.0,3000.0,1.0,4.0
0.0,3.0,1.0,2.0,451,12000.0,1250.0,1.0,2.0
0.0,1.0,1.0,1.0,598,9000.0,550.0,1.0,1.0
2.0,2.0,1.0,1.0,342,65000.0,1500.0,1.0,2.0
0.0,1.0,1.0,1.0,175,25000.0,1200.0,2.0,1.0
2.0,2.0,1.0,1.0,481,16000.0,1100.0,1.0,2.0
2.0,2.0,1.0,2.0,540,15000.0,580.0,1.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,350.0,0.0,1.0
2.0,1.0,1.0,2.0,346,9000.0,400.0,1.0,1.0
2.0,1.0,1.0,2.0,346,15500.0,550.0,1.0,1.0
2.0,2.0,1.0,2.0,346,13000.0,600.0,1.0,2.0
2.0,2.0,1.0,2.0,346,12000.0,600.0,1.0,1.0
2.0,2.0,1.0,2.0,346,13000.0,750.0,1.0,2.0
2.0,2.0,1.0,2.0,346,15500.0,600.0,2.0,1.0
2.0,1.0,1.0,2.0,346,9000.0,600.0,2.0,1.0
2.0,2.0,1.0,2.0,346,15000.0,550.0,2.0,1.0
2.0,1.0,0.0,0.0,346,5500.0,300.0,1.0,1.0
2.0,1.0,1.0,3.0,346,7500.0,450.0,1.0,1.0
2.0,1.0,1.0,2.0,346,9500.0,500.0,1.0,1.0
2.0,2.0,1.0,2.0,346,18000.0,700.0,2.0,2.0
2.0,1.0,1.0,2.0,346,6500.0,450.0,1.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,500.0,0.0,1.0
2.0,1.0,1.0,2.0,346,8500.0,400.0,1.0,1.0
2.0,3.0,1.0,2.0,346,23000.0,1200.0,0.0,2.0
2.0,2.0,1.0,2.0,346,9000.0,500.0,1.0,1.0
2.0,1.0,1.0,2.0,346,10000.0,500.0,1.0,1.0
2.0,1.0,0.0,0.0,346,6000.0,300.0,0.0,1.0
2.0,1.0,0.0,0.0,346,6000.0,350.0,1.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,400.0,2.0,1.0
2.0,2.0,1.0,2.0,346,15000.0,450.0,2.0,1.0
2.0,1.0,0.0,0.0,346,8500.0,300.0,2.0,1.0
2.0,1.0,0.0,0.0,346,6000.0,250.0,0.0,1.0
2.0,1.0,0.0,0.0,346,6000.0,300.0,1.0,1.0
2.0,1.0,0.0,0.0,346,6000.0,250.0,1.0,1.0
2.0,2.0,1.0,2.0,346,12000.0,550.0,1.0,2.0
2.0,1.0,0.0,0.0,346,8000.0,300.0,2.0,1.0
2.0,1.0,1.0,2.0,346,11500.0,450.0,2.0,1.0
2.0,2.0,1.0,2.0,346,17000.0,600.0,2.0,2.0
2.0,1.0,1.0,2.0,346,8500.0,400.0,0.0,1.0
2.0,2.0,1.0,2.0,346,12000.0,550.0,0.0,2.0
2.0,1.0,1.0,2.0,346,12500.0,550.0,1.0,1.0
2.0,2.0,1.0,2.0,346,13000.0,600.0,1.0,1.0
2.0,1.0,0.0,0.0,346,5000.0,250.0,0.0,1.0
2.0,2.0,1.0,2.0,346,12000.0,550.0,1.0,1.0
2.0,2.0,1.0,2.0,346,8000.0,550.0,1.0,1.0
2.0,1.0,1.0,2.0,346,8000.0,350.0,1.0,1.0
2.0,2.0,1.0,2.0,346,11000.0,550.0,1.0,1.0
2.0,1.0,1.0,2.0,346,7500.0,450.0,0.0,1.0
2.0,2.0,1.0,2.0,346,12500.0,600.0,1.0,2.0
2.0,2.0,1.0,2.0,346,15000.0,750.0,2.0,2.0
2.0,2.0,1.0,2.0,346,11500.0,550.0,0.0,1.0
2.0,2.0,1.0,2.0,346,9000.0,550.0,0.0,1.0
2.0,2.0,1.0,2.0,346,10000.0,550.0,2.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,650.0,1.0,2.0
2.0,1.0,1.0,2.0,346,7500.0,450.0,1.0,1.0
2.0,1.0,1.0,2.0,346,7000.0,400.0,1.0,1.0
2.0,1.0,1.0,2.0,346,9000.0,450.0,1.0,1.0
2.0,2.0,1.0,2.0,346,14000.0,750.0,1.0,2.0
2.0,1.0,1.0,2.0,346,10000.0,450.0,1.0,1.0
2.0,2.0,1.0,1.0,500,21000.0,1500.0,1.0,2.0
2.0,2.0,1.0,1.0,500,21000.0,1600.0,1.0,2.0
2.0,3.0,1.0,1.0,500,28000.0,1800.0,1.0,3.0
2.0,2.0,1.0,1.0,500,23000.0,1500.0,1.0,2.0
2.0,3.0,1.0,1.0,500,30000.0,1700.0,1.0,3.0
2.0,3.0,1.0,1.0,500,25000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,500,29000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,500,29000.0,1700.0,1.0,3.0
2.0,3.0,1.0,1.0,500,26000.0,1800.0,1.0,2.0
2.0,3.0,1.0,1.0,500,30000.0,2000.0,1.0,3.0
2.0,3.0,1.0,1.0,500,29000.0,2000.0,1.0,3.0
2.0,4.0,1.0,1.0,500,35000.0,2430.0,1.0,4.0
2.0,3.0,1.0,1.0,500,30000.0,1890.0,1.0,4.0
2.0,2.0,1.0,1.0,500,24000.0,1500.0,1.0,2.0
2.0,3.0,1.0,1.0,502,26000.0,1800.0,1.0,3.0
2.0,4.0,1.0,1.0,500,27000.0,2000.0,1.0,4.0
2.0,3.0,1.0,1.0,500,27000.0,1700.0,1.0,3.0
2.0,3.0,1.0,1.0,500,27000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,500,31000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,500,28000.0,1700.0,1.0,3.0
2.0,3.0,1.0,1.0,500,35000.0,1800.0,1.0,3.0
2.0,3.0,1.0,1.0,502,25000.0,1700.0,1.0,3.0
2.0,3.0,1.0,1.0,502,25000.0,1600.0,1.0,2.0
2.0,3.0,1.0,1.0,500,25000.0,1600.0,1.0,2.0
2.0,3.0,1.0,1.0,500,26000.0,1700.0,1.0,2.0
2.0,3.0,1.0,1.0,500,28000.0,1750.0,1.0,2.0
2.0,3.0,1.0,1.0,500,23000.0,1700.0,1.0,2.0
2.0,2.0,1.0,1.0,500,23000.0,1400.0,1.0,1.0
2.0,3.0,1.0,1.0,500,26000.0,2000.0,1.0,3.0
2.0,4.0,1.0,1.0,500,28000.0,2540.0,1.0,4.0
2.0,2.0,1.0,1.0,500,24000.0,1310.0,1.0,2.0
2.0,3.0,1.0,1.0,500,30000.0,1760.0,1.0,3.0
2.0,3.0,1.0,1.0,500,28000.0,1560.0,1.0,3.0
2.0,2.0,1.0,1.0,522,23000.0,1250.0,1.0,2.0
2.0,3.0,1.0,1.0,449,85000.0,2674.0,2.0,3.0
0.0,1.0,0.0,0.0,346,6000.0,400.0,1.0,1.0
2.0,1.0,1.0,2.0,346,8500.0,350.0,1.0,1.0
2.0,2.0,1.0,2.0,346,10000.0,500.0,1.0,1.0
2.0,1.0,1.0,2.0,346,11000.0,500.0,2.0,1.0
2.0,1.0,1.0,2.0,346,7500.0,400.0,1.0,1.0
0.0,2.0,1.0,2.0,160,22000.0,1600.0,1.0,2.0
2.0,4.0,1.0,1.0,510,60000.0,2400.0,2.0,3.0
2.0,4.0,1.0,2.0,528,27000.0,1900.0,1.0,3.0
2.0,4.0,1.0,2.0,528,29000.0,1900.0,1.0,3.0
2.0,2.0,1.0,2.0,346,12000.0,450.0,1.0,2.0
2.0,1.0,1.0,2.0,346,8500.0,600.0,1.0,1.0
