SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
0.0,1.0,0.0,0.0,406,6720.0,320.0,2.0,1.0
0.0,5.0,1.0,5.0,424,36000.0,3000.0,1.0,4.0
0.0,2.0,1.0,2.0,408,11000.0,900.0,1.0,2.0
0.0,3.0,1.0,4.0,223,20000.0,1600.0,1.0,3.0
0.0,1.0,1.0,2.0,272,5000.0,600.0,0.0,1.0
0.0,2.0,1.0,4.0,270,12000.0,1165.0,2.0,2.0
0.0,2.0,1.0,3.0,223,17000.0,900.0,1.0,2.0
0.0,2.0,1.0,4.0,223,22000.0,1400.0,1.0,2.0
0.0,1.0,1.0,2.0,133,6500.0,1000.0,1.0,1.0
0.0,3.0,1.0,4.0,67,13000.0,1000.0,1.0,2.0
0.0,2.0,1.0,4.0,67,20000.0,1000.0,0.0,2.0
0.0,1.0,1.0,3.0,240,6500.0,160.0,0.0,1.0
0.0,1.0,0.0,0.0,60,7500.0,1500.0,2.0,1.0
0.0,2.0,1.0,4.0,67,15000.0,1100.0,1.0,2.0
0.0,3.0,1.0,4.0,307,23000.0,1600.0,1.0,3.0
0.0,2.0,1.0,2.0,448,7500.0,850.0,1.0,2.0
0.0,2.0,1.0,2.0,240,15000.0,1500.0,1.0,2.0
0.0,2.0,1.0,4.0,282,4000.0,645.0,1.0,2.0
0.0,3.0,1.0,4.0,129,30000.0,1300.0,1.0,3.0
0.0,2.0,1.0,4.0,406,21000.0,1080.0,1.0,2.0
0.0,3.0,1.0,3.0,31,21000.0,1600.0,1.0,2.0
0.0,3.0,1.0,4.0,330,22000.0,1900.0,1.0,3.0
0.0,2.0,1.0,3.0,203,15000.0,1600.0,1.0,2.0
0.0,1.0,1.0,2.0,240,8000.0,600.0,1.0,1.0
0.0,3.0,1.0,4.0,360,21000.0,1500.0,1.0,2.0
0.0,3.0,1.0,3.0,330,20000.0,1530.0,2.0,3.0
0.0,1.0,1.0,3.0,96,9000.0,900.0,0.0,1.0
0.0,2.0,1.0,2.0,424,12000.0,1470.0,0.0,2.0
0.0,2.0,1.0,4.0,270,18500.0,1400.0,1.0,2.0
0.0,1.0,1.0,3.0,270,13000.0,900.0,1.0,1.0
0.0,1.0,1.0,4.0,60,8000.0,450.0,0.0,1.0
0.0,1.0,1.0,2.0,24,7000.0,500.0,0.0,1.0
0.0,1.0,1.0,4.0,170,12000.0,500.0,2.0,1.0
0.0,1.0,1.0,3.0,196,8000.0,391.0,0.0,1.0
0.0,1.0,0.0,0.0,253,5000.0,150.0,0.0,2.0
0.0,3.0,1.0,4.0,129,38000.0,2160.0,1.0,3.0
0.0,2.0,1.0,2.0,240,25000.0,1200.0,2.0,2.0
0.0,3.0,1.0,4.0,253,19000.0,1500.0,1.0,2.0
0.0,1.0,1.0,3.0,240,6300.0,900.0,0.0,1.0
0.0,1.0,1.0,2.0,167,5500.0,500.0,0.0,1.0
0.0,1.0,1.0,2.0,253,10000.0,340.0,1.0,1.0
0.0,2.0,1.0,2.0,283,15000.0,1150.0,1.0,1.0
0.0,3.0,1.0,4.0,283,14000.0,1400.0,0.0,3.0
0.0,2.0,1.0,2.0,178,9500.0,1000.0,0.0,2.0
0.0,3.0,1.0,4.0,129,27000.0,1740.0,1.0,1.0
0.0,2.0,1.0,2.0,24,10000.0,1500.0,0.0,2.0
0.0,1.0,1.0,4.0,240,12000.0,500.0,1.0,1.0
0.0,1.0,1.0,2.0,249,8000.0,600.0,0.0,1.0
0.0,3.0,1.0,4.0,408,25000.0,1610.0,1.0,3.0
0.0,6.0,1.0,4.0,293,35000.0,2250.0,1.0,3.0
0.0,2.0,1.0,2.0,249,11500.0,1150.0,1.0,2.0
0.0,3.0,1.0,3.0,434,17000.0,1500.0,1.0,3.0
0.0,2.0,1.0,3.0,229,14400.0,800.0,1.0,2.0
0.0,2.0,1.0,2.0,381,7000.0,650.0,2.0,2.0
0.0,2.0,1.0,4.0,433,9000.0,1000.0,2.0,2.0
0.0,2.0,1.0,4.0,159,14000.0,1150.0,1.0,2.0
0.0,3.0,1.0,4.0,270,13500.0,1410.0,1.0,3.0
0.0,2.0,1.0,4.0,395,15000.0,1000.0,0.0,2.0
0.0,2.0,1.0,4.0,60,17000.0,1100.0,0.0,3.0
0.0,3.0,1.0,4.0,350,23000.0,1652.0,1.0,3.0
0.0,2.0,1.0,2.0,240,12000.0,900.0,1.0,2.0
0.0,2.0,1.0,4.0,240,18000.0,1195.0,1.0,2.0
0.0,3.0,1.0,4.0,96,20000.0,1555.0,1.0,2.0
0.0,2.0,1.0,4.0,332,18000.0,1300.0,1.0,2.0
0.0,4.0,1.0,4.0,330,10000.0,1232.0,1.0,2.0
0.0,3.0,1.0,4.0,34,27000.0,1635.0,1.0,3.0
1.0,3.0,1.0,4.0,6,16500.0,1785.0,1.0,3.0
