SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
0.0,2.0,1.0,1.0,373,6000.0,600.0,0.0,1.0
0.0,1.0,0.0,0.0,375,4000.0,150.0,1.0,1.0
0.0,1.0,0.0,0.0,354,6500.0,350.0,1.0,1.0
0.0,3.0,1.0,2.0,118,26000.0,1200.0,2.0,2.0
0.0,2.0,1.0,2.0,123,10000.0,800.0,1.0,2.0
0.0,1.0,1.0,3.0,200,10000.0,500.0,0.0,1.0
0.0,1.0,1.0,2.0,251,8000.0,600.0,1.0,1.0
0.0,3.0,1.0,3.0,185,16000.0,1260.0,1.0,3.0
0.0,3.0,1.0,3.0,174,22000.0,900.0,2.0,2.0
0.0,2.0,1.0,3.0,347,16000.0,850.0,0.0,2.0
0.0,2.0,1.0,3.0,184,12000.0,800.0,1.0,1.0
0.0,2.0,1.0,3.0,141,9000.0,800.0,1.0,2.0
0.0,2.0,1.0,3.0,285,10500.0,760.0,0.0,2.0
0.0,4.0,1.0,3.0,271,40000.0,2060.0,2.0,3.0
0.0,2.0,1.0,3.0,316,8000.0,850.0,1.0,2.0
1.0,2.0,1.0,3.0,46,12000.0,550.0,0.0,2.0
0.0,2.0,1.0,3.0,343,17000.0,850.0,1.0,1.0
1.0,2.0,1.0,1.0,348,11000.0,800.0,0.0,2.0
0.0,2.0,1.0,3.0,226,11300.0,1000.0,0.0,2.0
0.0,2.0,1.0,3.0,301,15000.0,900.0,2.0,2.0
0.0,3.0,1.0,3.0,271,16000.0,1035.0,0.0,2.0
0.0,2.0,1.0,3.0,111,10000.0,846.0,1.0,1.0
1.0,3.0,1.0,3.0,269,14000.0,1035.0,2.0,2.0
0.0,2.0,1.0,2.0,350,10000.0,750.0,1.0,1.0
0.0,1.0,1.0,1.0,396,15000.0,300.0,1.0,1.0
0.0,2.0,1.0,3.0,202,18000.0,850.0,1.0,2.0
0.0,2.0,1.0,3.0,155,10000.0,950.0,0.0,2.0
0.0,2.0,1.0,1.0,396,20000.0,720.0,1.0,1.0
0.0,2.0,1.0,1.0,354,15000.0,1000.0,1.0,1.0
1.0,2.0,1.0,3.0,396,14500.0,650.0,1.0,1.0
0.0,2.0,1.0,3.0,401,7000.0,675.0,1.0,1.0
0.0,1.0,0.0,0.0,354,9000.0,150.0,2.0,1.0
0.0,2.0,1.0,3.0,155,12000.0,900.0,0.0,2.0
0.0,1.0,1.0,3.0,28,6000.0,450.0,2.0,1.0
0.0,1.0,0.0,0.0,236,16000.0,350.0,2.0,1.0
0.0,3.0,1.0,3.0,212,10000.0,1174.0,1.0,2.0
1.0,2.0,1.0,3.0,78,22000.0,1120.0,1.0,2.0
0.0,2.0,1.0,3.0,271,15000.0,1230.0,2.0,2.0
0.0,3.0,1.0,3.0,195,15000.0,1260.0,0.0,2.0
0.0,1.0,1.0,1.0,198,8000.0,650.0,1.0,2.0
0.0,2.0,1.0,3.0,373,11000.0,850.0,0.0,2.0
0.0,2.0,1.0,3.0,347,12000.0,550.0,1.0,1.0
0.0,3.0,1.0,3.0,251,15000.0,1256.0,0.0,2.0
0.0,2.0,1.0,3.0,316,10000.0,1042.0,0.0,2.0
0.0,3.0,1.0,3.0,179,14000.0,1258.0,1.0,2.0
0.0,2.0,1.0,3.0,7,9000.0,982.0,1.0,2.0
0.0,2.0,1.0,1.0,389,10000.0,1050.0,0.0,2.0
0.0,3.0,1.0,3.0,271,17000.0,1100.0,0.0,2.0
0.0,3.0,1.0,3.0,271,20000.0,1450.0,0.0,2.0
0.0,1.0,1.0,1.0,68,9500.0,600.0,0.0,1.0
0.0,2.0,1.0,1.0,354,20000.0,1200.0,1.0,1.0
0.0,3.0,1.0,1.0,347,18000.0,1200.0,0.0,2.0
0.0,3.0,1.0,3.0,271,30000.0,1450.0,2.0,2.0
0.0,2.0,1.0,3.0,271,20000.0,899.0,1.0,2.0
0.0,2.0,1.0,3.0,227,13000.0,900.0,0.0,2.0
0.0,2.0,1.0,3.0,46,20000.0,1050.0,2.0,2.0
0.0,2.0,1.0,3.0,190,25000.0,950.0,2.0,2.0
0.0,2.0,1.0,3.0,271,13000.0,650.0,2.0,2.0
0.0,2.0,1.0,3.0,151,15000.0,720.0,2.0,2.0
0.0,3.0,1.0,3.0,84,10000.0,1040.0,1.0,2.0
0.0,1.0,1.0,3.0,146,7560.0,504.0,1.0,1.0
0.0,3.0,1.0,2.0,396,16000.0,1100.0,2.0,1.0
0.0,3.0,1.0,3.0,407,8000.0,1357.0,1.0,2.0
0.0,2.0,1.0,3.0,367,13000.0,680.0,0.0,1.0
0.0,3.0,1.0,3.0,123,16000.0,1340.0,1.0,2.0
0.0,1.0,1.0,3.0,166,10500.0,500.0,0.0,1.0
0.0,2.0,1.0,2.0,367,7000.0,400.0,0.0,1.0
0.0,1.0,1.0,2.0,190,6500.0,1000.0,1.0,1.0
0.0,1.0,1.0,3.0,123,15000.0,760.0,2.0,2.0
0.0,2.0,1.0,3.0,185,8500.0,600.0,0.0,1.0
0.0,3.0,1.0,2.0,60,18000.0,1200.0,0.0,1.0
0.0,2.0,1.0,3.0,271,14000.0,600.0,0.0,2.0
0.0,2.0,1.0,3.0,271,12000.0,724.0,0.0,2.0
0.0,2.0,1.0,1.0,354,20000.0,1450.0,1.0,2.0
0.0,1.0,0.0,0.0,373,2500.0,250.0,2.0,1.0
0.0,1.0,1.0,1.0,84,5000.0,500.0,0.0,1.0
