SELLER TYPE,BEDROOM,LAYOUT TYPE,PROPERTY TYPE,LOCALITY,PRICE,AREA,FURNISH TYPE,BATHROOM
0.0,1.0,1.0,1.0,245,6750.0,450.0,0.0,1.0
0.0,2.0,1.0,3.0,440,18000.0,916.0,0.0,2.0
0.0,3.0,1.0,3.0,437,16500.0,1085.0,1.0,3.0
0.0,1.0,0.0,0.0,193,8000.0,250.0,2.0,1.0
0.0,2.0,1.0,3.0,455,25000.0,1005.0,1.0,2.0
0.0,1.0,1.0,3.0,116,11000.0,600.0,1.0,1.0
0.0,2.0,1.0,3.0,291,17000.0,900.0,1.0,2.0
0.0,2.0,1.0,3.0,136,13500.0,900.0,2.0,3.0
0.0,1.0,0.0,0.0,95,3500.0,200.0,2.0,1.0
0.0,1.0,1.0,3.0,268,12000.0,1000.0,1.0,1.0
0.0,2.0,1.0,3.0,136,12000.0,850.0,1.0,2.0
0.0,1.0,1.0,1.0,58,6500.0,500.0,0.0,1.0
0.0,3.0,1.0,1.0,425,20000.0,1210.0,2.0,2.0
0.0,1.0,1.0,3.0,97,8000.0,500.0,0.0,1.0
0.0,3.0,1.0,3.0,65,9500.0,1278.0,1.0,2.0
0.0,1.0,1.0,1.0,437,6500.0,750.0,0.0,1.0
0.0,1.0,0.0,0.0,73,8000.0,315.0,1.0,1.0
0.0,3.0,1.0,3.0,175,35000.0,1275.0,2.0,3.0
0.0,2.0,1.0,3.0,440,17000.0,1000.0,0.0,2.0
0.0,1.0,1.0,3.0,437,7500.0,520.0,1.0,1.0
0.0,2.0,1.0,3.0,156,30000.0,929.0,0.0,2.0
0.0,2.0,1.0,3.0,318,15000.0,660.0,2.0,2.0
0.0,1.0,1.0,3.0,440,14000.0,600.0,0.0,1.0
0.0,1.0,1.0,2.0,175,9000.0,650.0,0.0,1.0
0.0,1.0,1.0,3.0,193,13000.0,650.0,1.0,1.0
0.0,1.0,1.0,2.0,203,8000.0,650.0,0.0,1.0
0.0,1.0,0.0,0.0,245,4000.0,350.0,0.0,1.0
0.0,2.0,1.0,3.0,291,24000.0,1080.0,2.0,2.0
0.0,1.0,0.0,0.0,281,12000.0,350.0,1.0,1.0
0.0,2.0,1.0,3.0,71,9000.0,675.0,1.0,1.0
0.0,2.0,1.0,3.0,27,17400.0,1100.0,1.0,2.0
0.0,2.0,1.0,3.0,193,18000.0,1000.0,2.0,2.0
0.0,2.0,1.0,3.0,440,18500.0,1026.0,1.0,2.0
0.0,1.0,1.0,3.0,289,9500.0,650.0,0.0,1.0
0.0,1.0,1.0,2.0,440,16500.0,630.0,1.0,1.0
0.0,1.0,1.0,2.0,44,8000.0,550.0,0.0,1.0
0.0,1.0,1.0,3.0,203,6800.0,450.0,0.0,1.0
0.0,2.0,1.0,3.0,405,10000.0,900.0,1.0,2.0
0.0,1.0,0.0,0.0,102,4500.0,350.0,0.0,1.0
0.0,1.0,1.0,3.0,175,11000.0,620.0,1.0,1.0
0.0,2.0,1.0,3.0,386,12000.0,900.0,0.0,2.0
0.0,1.0,1.0,3.0,437,8100.0,610.0,0.0,1.0
0.0,2.0,1.0,3.0,437,20000.0,1100.0,1.0,2.0
0.0,1.0,1.0,2.0,289,9500.0,630.0,1.0,1.0
0.0,2.0,1.0,3.0,440,19000.0,1000.0,1.0,2.0
0.0,1.0,1.0,3.0,128,6000.0,550.0,1.0,1.0
0.0,2.0,1.0,2.0,193,35000.0,1200.0,0.0,2.0
0.0,1.0,1.0,3.0,136,9000.0,500.0,0.0,2.0
0.0,1.0,1.0,3.0,175,12500.0,450.0,0.0,1.0
0.0,1.0,1.0,3.0,375,9500.0,620.0,0.0,1.0
0.0,2.0,1.0,3.0,95,17000.0,851.0,1.0,2.0
0.0,3.0,1.0,3.0,437,16000.0,1080.0,1.0,3.0
0.0,1.0,1.0,3.0,268,8100.0,602.0,0.0,1.0
0.0,2.0,1.0,2.0,394,14500.0,942.0,1.0,2.0
0.0,2.0,1.0,3.0,440,18500.0,975.0,0.0,2.0
2.0,2.0,1.0,3.0,7,15000.0,900.0,0.0,2.0
0.0,1.0,0.0,0.0,161,3500.0,500.0,2.0,2.0
0.0,3.0,1.0,3.0,73,21000.0,1250.0,0.0,3.0
2.0,2.0,1.0,3.0,136,17500.0,950.0,1.0,2.0
2.0,2.0,1.0,3.0,32,16000.0,993.0,0.0,2.0
2.0,2.0,1.0,3.0,440,31000.0,900.0,2.0,2.0
0.0,1.0,1.0,3.0,136,12000.0,600.0,0.0,1.0
